ID_INDIVIDU,CODE_MAGASIN,PAYS,ETAT,TAILLE,TAILLE_SG,TAILLE_BONNET
4,751,FR,N,38,95,B
27,942,FR,N,38,85,B
34,942,FR,N,42,95,B
37,942,FR,N,42,90,B
47,941,FR,N,40,90,C
54,941,FR,N,40,90,C
84,920,FR,N,36,90,B
88,311,FR,N,36,90,D
89,311,FR,N,,,
91,312,,N,38,80,B
99,312,FR,N,42,95,C
104,312,FR,N,,85,B
115,331,FR,N,38,85,C
135,693,FR,N,38,85,B
136,721,FR,N,42,90,B
144,751,FR,N,42,90,A
157,761,FR,N,38,85,C
164,761,FR,N,40,90,B
167,671,FR,N,,,
168,691,FR,N,40,85,B
175,211,FR,N,,,
180,541,FR,N,40,85,C
184,511,FR,N,40,85,C
191,491,FR,N,,,
199,350,FR,E,38,85,A
203,350,FR,N,38,80,B
218,350,FR,N,38,85,B
229,371,FR,E,40,85,B
233,371,FR,N,38,85,B
235,371,FR,N,42,85,B
246,371,FR,N,42,80,A
247,371,FR,N,38,85,B
262,441,FR,N,40,95,B
267,441,FR,M,42,90,a
274,441,FR,N,40,95,B
275,441,FR,N,38,85,B
286,441,FR,N,40,85,B
292,442,,N,38,90,B
293,442,FR,N,42,90,B
295,442,FR,N,38,80,B
297,442,FR,N,40,90,A
302,442,FR,N,,,
307,442,FR,E,42,85,D
318,451,FR,N,42,85,B
330,451,FR,N,40,90,C
332,491,FR,N,40,90,C
334,491,FR,N,40,90,B
340,491,FR,N,40,,
344,491,FR,N,38,90,C
345,491,FR,N,38,90,A
348,511,FR,N,40,85,A
351,511,FR,N,44,95,D
357,511,FR,N,40,90,C
359,511,FR,E,40,90,B
362,541,FR,N,42,90,C
364,511,FR,E,40,90,C
365,541,FR,N,,,
366,541,FR,N,42,90,B
372,541,FR,N,44,95,B
373,541,FR,N,40,85,B
374,541,FR,N,40,85,C
388,591,FR,N,40,90,D
394,211,FR,E,38,85,C
406,592,FR,N,38,85,C
408,592,FR,N,40,90,B
424,592,FR,N,42,90,D
426,592,FR,N,36,85,D
445,761,FR,N,40,95,B
449,761,FR,N,40,90,A
452,761,FR,N,42,90,C
453,761,FR,N,40,90,A
456,758,FR,N,42,95,C
464,758,FR,N,46,100,B
475,757,FR,N,40,90,B
483,757,FR,N,42,90,D
488,756,FR,N,40,85,B
491,756,FR,N,40,85,C
494,130,FR,N,42,90,B
506,7516,FR,N,38,80,B
508,7516,FR,N,40,85,B
509,7516,FR,N,38,85,C
518,7516,FR,N,40,85,B
527,141,FR,N,38,90,C
528,141,FR,N,42,85,B
540,754,FR,N,42,85,B
546,753,FR,N,38,85,B
555,753,FR,N,38,85,B
557,753,FR,M,38,90,D
561,752,FR,N,38,,
568,752,FR,N,38,85,B
572,752,FR,N,40,85,B
586,721,FR,N,40,85,B
596,721,FR,N,40,90,B
611,693,FR,E,38,90,B
612,141,FR,N,38,85,B
613,693,FR,N,40,90,B
615,693,,E,38,85,A
618,693,,N,40,85,B
625,693,FR,N,40,85,A
631,693,FR,N,38,85,C
632,693,FR,N,40,90,B
638,693,FR,E,40,90,B
653,541,FR,N,38,90,B
658,541,,E,,,
670,941,,E,,,
679,754,,E,,,
692,693,,E,,,
694,130,,E,,,
699,451,,E,,,
710,292,,E,,,
733,753,,E,,,
741,291,,E,,,
743,381,,E,,,
744,941,FR,E,40,90,D
753,671,FR,N,,,
754,761,,E,,,
766,491,,E,,,
778,311,FR,E,,,
780,351,FR,E,,,
783,671,FR,E,,,
