Ligne,Famille,Libelle_modele,MODELE
Corseterie,Emboitant,SOUTIEN GORGE ARMATURE,100
Corseterie,Emboitant,SOUTIEN GORGE ARMATURE,100B
Corseterie,Emboitant,SOUTIEN GORGE ARMATURE,100C
Corseterie,Emboitant,SOUTIEN GORGE ARMATURE,100D
Corseterie,Emboitant,SOUTIEN GORGE ARMATURE,100E
Corseterie,Corbeille,SOUTIEN GORGE CORBEILLE,101
Corseterie,Corbeille,SOUTIEN GORGE CORBEILLE,101A
Corseterie,Corbeille,SOUTIEN GORGE CORBEILLE,101B
Corseterie,Corbeille,SOUTIEN GORGE CORBEILLE,101C
Corseterie,Corbeille,SOUTIEN GORGE CORBEILLE,101D
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE CORBEILLE MOUSSE,102
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE CORBEILLE MOUSSE,102A
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE CORBEILLE MOUSSE,102B
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE CORBEILLE MOUSSE,102C
Corseterie,Emboitant,SOUTIEN GORGE MOULE,103
Corseterie,Emboitant,SOUTIEN GORGE MOULÉ ARMATURES,103B
Corseterie,Emboitant,SOUTIEN GORGE MOULÉ ARMATURES,103C
Corseterie,Emboitant,SOUTIEN GORGE MOULE ARMATURES,103D
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU MOUSSE B,104
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU MOUSSE B,104A
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU MOUSSE B,104B
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU MOUSSE B,104C
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURE,105
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURE,105A
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURE,105B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURE,105C
Corseterie,Push-up,SOUTIEN GORGE PUSH UP,106
Corseterie,Push-up,SOUTIEN GORGE PUSH UP,106A
Corseterie,Push-up,SOUTIEN GORGE PUSH UP,106B
Corseterie,Push-up,SOUTIEN GORGE PUSH UP,106C
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU MOUSSE A,107
Corseterie,Triangle/Brassiere,SOUTIEN-GORGE TRIANGLE ARMATUR,107A
Corseterie,Triangle/Brassiere,SOUTIEN GORGE TRIANGLE ARMATUR,107B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE TRIANGLE ARMATUR,107C
Corseterie,Triangle/Brassiere,SOUTIEN GORGE TRIANGLE ARMATUR,107D
Corseterie,Triangle/Brassiere,SOUTIEN GORGE TRIANGLE MOULE A,108B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE TRIANGLE MOULE A,108C
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MOULE,109A
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MOULE,109B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MOULE,109C
Corseterie,Push-up,SOUTIEN GORGE PUSH UP COQUE,110
Corseterie,Push-up,SOUTIEN GORGE PUSH UP  COQUE,110A
Corseterie,Push-up,SOUTIEN GORGE PUSH UP COQUE,110B
Corseterie,Push-up,SOUTIEN GORGE PUSH UP COQUE,110C
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MONOARMATURE,111A
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MONOARMATURE,111B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MONOARMATURE,111C
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU COQUE,112A
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU COQUE,112B
Corseterie,Corbeille mousse/Bandeau,SOUTIEN GORGE BANDEAU COQUE,112C
Corseterie,Triangle/Brassiere,SOUTIEN GORGE BRASSIERE,113
Corseterie,Corbeille,SGAA DEMI SEIN,114A
Corseterie,Corbeille,SGAA DEMI SEIN,114B
Corseterie,Corbeille,SGAA DEMI SEIN,114C
Corseterie,Slip,SLIP TAILLE BASSE,119
Corseterie,Slip,SLIP,120
Corseterie,Slip,SLIP FANTAISIE,121
Corseterie,String/Tanga,STRING,122
Corseterie,Corseterie_PP,GAINETTE,123
Corseterie,Short,BOXER SHORT,124
Corseterie,Short,CULOTTE,126
Corseterie,Slip,SLIP ECHANCRE,127
Corseterie,String/Tanga,TANGA,128
Homewear,Homewear_Bas,PANTACOURT,134
Corseterie,Short,PANTY,135
Corseterie,Bustier/Guepiere,GUEPIERE,137
Corseterie,Bustier/Guepiere,GUEPIERE,137A
Corseterie,Bustier/Guepiere,GUEPIÈRE,137B
Corseterie,Bustier/Guepiere,GUEPIÈRE,137C
Corseterie,Corseterie_PP,PORTE JARRETELLES,138
Corseterie,Corseterie_PP,CARACO,140
Corseterie,Corseterie_PP,COMBINETTE,141
Corseterie,String/Tanga,JUPE STRING,148
Corseterie,Corseterie_PP,DESHABILLE,149
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURES,151B
Corseterie,Emboitant,SOUTIEN GORGE CORBEILLE,151C
Corseterie,Emboitant,SOUTIEN GORGE CORBEILLE,151D
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURES,155A
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURES,155B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE SANS ARMATURES,155C
Corseterie,Push-up,SOUTIEN GORGE PUSH UP (IDEM 10,156A
Corseterie,Push-up,SOUTIEN GORGE PUSH-UP (IDEM 10,156B
Corseterie,Push-up,SOUTIEN GORGE PUSH UP (IDEM 10,156C
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MOULE,159A
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MOULE,159B
Corseterie,Triangle/Brassiere,SOUTIEN GORGE MOULE,159C
Corseterie,Push-up,SOUTIEN GORGE PUSH UP COQUE,160A
Corseterie,Push-up,SOUTIEN GORGE PUSH UP COQUE,160B
Corseterie,Push-up,SOUTIEN GORGE PUSH UP COQUE,160C
Corseterie,Slip,SLIP TAILLE BASSE,169
Corseterie,String/Tanga,STRING (IDEM 122),172
Corseterie,String/Tanga,STRING (IDEM 122),189
Homewear,Homewear_Ensemble,PYJAMA,200
Homewear,Homewear_Ensemble,PYJAMA SANS BOUTON,206
Homewear,Homewear_Haut,TUNIQUE,208
Homewear,Homewear_Ensemble,COMBINAISON PANTALON,209
Homewear,Homewear_Ensemble,LIQUETTE MANCHES LONGUES,210
Homewear,Homewear_Ensemble,PYJMAMA MANCHES COURTES,211
Homewear,Homewear_Ensemble,PYJAPANTACOURT,213
Homewear,Homewear_Ensemble,PYJASHORT,220
Homewear,Homewear_Ensemble,CARACO SHORT,222
Homewear,Homewear_Haut,TOP,225
Homewear,Homewear_Bas,CORSAIRE,226
Homewear,Homewear_Ensemble,LIQUETTE,230
Homewear,Homewear_Ensemble,DJELLABA,231
Homewear,Homewear_Bas,PANTALON JOGGING,236
Homewear,Homewear_Ensemble,CHEMISE DE NUIT COURTE,237
Homewear,Homewear_Ensemble,CHEMISE DE NUIT LONGUE,238
Homewear,Homewear_Ensemble,CHEMISE DE NUIT LONGUE ENCOLUR,240
Homewear,Homewear_Bas,PANTALON,244
Homewear,Homewear_Ensemble,NUISETTE COURTE,245
Homewear,Homewear_Haut,CARACO,247
Homewear,Homewear_Bas,BOXER SHORT,248
Homewear,Homewear_Bas,CALEÇON,249
Homewear,Homewear_Haut,T.SHIRT LONG MANCHES LONGUES,250
Homewear,Homewear_Haut,T.SHIRT COURT MANCHES LONGUES,252
Homewear,Homewear_Haut,T.SHIRT COURT MANCHES COURTES,253
Homewear,Homewear_Haut,CARDIGAN MANCHES LONGUES,254
Homewear,Homewear_Haut,CACHE COEUR,256
Homewear,Homewear_Haut,SWEAT SHIRT,257
Homewear,Homewear_Haut,VESTE SEULE,260
Homewear,Homewear_Bas,PANTALON,261
Homewear,Homewear_Haut,CARDIGAN MANCHES COURTES,262
Homewear,Homewear_Ensemble,ROBE DE CHAMBRE LONGUE,266
Homewear,Homewear_Ensemble,COMBISHORT,269
Homewear,Homewear_Haut,T-SHIRT SANS MANCHE,270
Homewear,Homewear_Ensemble,DESHABILLE,273
Homewear,Homewear_Ensemble,PEIGNOIR LONG,276
Homewear,Homewear_Ensemble,PEIGNOIR COURT,277
Homewear,Homewear_Ensemble,PEIGNOIR,281
Homewear,Homewear_Haut,VESTE SEULE,284
Homewear,Homewear_Ensemble,PONCHO,289
Homewear,Homewear_Bas,PANTALON,294
Corseterie,String/Tanga,PACKS 2 STRINGS,331
Corseterie,Slip,PACK 3 SLIPS,340
Corseterie,String/Tanga,PACK 3 STRINGS,341
Homewear,Homewear_Haut,T-SHIRT SANS MANCHES ENFANT,470
Bain,Bain_Maillot,NAGEUR BRETELLES AMOVIBLES,501
Bain,Bain_Maillot,NAGEUR,502
Bain,Bain_Maillot,NAGEUR STRUCTURE,503
Bain,Bain_Maillot,NAGEUR DOS CARRE,504
Bain,Bain_Maillot,1 PIECE ARMATURE CACHEE,505B
Bain,Bain_Maillot,1 PIECE ARMATURE CACHEE,505C
Bain,Bain_Maillot,1 PIÈCE ARMATURE CACHÉE,505D
Bain,Bain_Maillot,CULOTTE,506
Bain,Bain_Maillot,SLIP,507
Bain,Bain_Maillot,2 PIÈCES ARMATURE,508
Bain,Bain_Maillot,2 PIECES ARMATURES + CULOTTE,509
Bain,Bain_Maillot,2 PIECES ARMATURE SLIP OU BIKI,510B
Bain,Bain_Maillot,2 PIECES ARMATURE SLIP OU BIKI,510C
Bain,Bain_Maillot,2 PIECES ARMATURE SLIP OU BIKI,510D
Bain,Bain_Maillot,2 PIECES PUSH UP,511A
Bain,Bain_Maillot,2 PIECES PUSH UP,511B
Bain,Bain_Maillot,2 PIECES PUSH UP,511C
Bain,Bain_Maillot,2 PIECES BANDEAU MOUSSE + SLIP,512A
Bain,Bain_Maillot,2 PIECES BADEAU MOUSSE + SLIP,512B
Bain,Bain_Maillot,2 PIECES BANDEAU MOUSSE + SLIP,512C
Bain,Bain_Maillot,2 PIECES MOUSSE BRETELLES AMOV,514B
Bain,Bain_Maillot,2 PIECES TRIANGLE ARMATURES,516B
Bain,Bain_Maillot,2 PIECES TRIANGLE ARMATURE,516C
Bain,Bain_Maillot,2 PIECES TRIANGL ARMATURE,516D
Bain,Bain_Maillot,2 PIECES ARMATURES CACHÉES + B,517
Bain,Bain_Maillot,2 PIECES TRIANGLE SANS ARMATUR,520
Bain,Bain_Maillot,SOUTIEN GORGE CORBEILLE MOUSSE,522A
Bain,Bain_Maillot,SOUTIEN GORGE CORBEILLE MOUSSE,522B
Bain,Bain_Maillot,SOUTIEN GORGE ARMATURE,523B
Bain,Bain_Maillot,SOUTIEN GORGE ARMATURE,523C
Bain,Bain_Maillot,SOUTIEN GORGE ARMATURE,523D
Bain,Bain_Maillot,SOUTIEN GORGE ARMATURE,523E
Bain,Bain_Maillot,SOUTIEN GORGE TRIANGLE,525
Bain,Bain_Maillot,SOUTIEN GORGE PUSH UP,526
Bain,Bain_Maillot,SOUTIEN GORGE PUSH UP,526A
Bain,Bain_Maillot,SOUTIEN GORGE PUSH UP,526B
Bain,Bain_Maillot,SOUTIEN GORGE PUSH UP,526C
Bain,Bain_Maillot,SOUTIEN GORGE TRIANGLE ARMATUR,529B
Bain,Bain_Maillot,SOUTIEN GORGE TRIANGLE ARMATUR,529C
Bain,Bain_Maillot,SOUTIEN GORGE TRIANGLE ARMATUR,529D
Bain,Bain_Maillot,SOUTIEN GORGE TRIANGLE ARMATUR,529E
Bain,Triangle/Brassiere,SOUTIEN GORGE BRASSIETE ARMATURES,531B
Bain,Triangle/Brassiere,SOUTIEN GORGE BRASSIETE ARMATURES,531C
Bain,Triangle/Brassiere,SOUTIEN GORGE BRASSIETE ARMATURES,531D
Bain,Bain_Maillot,SOUTIEN GORGE BANDEAU SANS ARM,535
Bain,Bain_Maillot,BIKINI,536
Bain,Bain_Beachwear,DJELLABA,538
Bain,Bain_Beachwear,PAREO,540
Bain,Bain_Beachwear,PAREO POINTE,541
Bain,Bain_Beachwear,SHORT,542
Bain,Bain_Beachwear,TOP,544
Bain,Bain_Beachwear,JUPE,548
Bain,Bain_Beachwear,ROBE,549
Bain,Bain_Beachwear,LIQUETTE,550
Bain,Bain_Beachwear,PANTALON,551
Bain,Bain_Maillot,SLIP ECHANCRE,552
Bain,Bain_Maillot,2 PIECES BANDEAU + SLIP,555
Bain,Bain_Maillot,CULOTTE TAILLE BASSE,557
Bain,Bain_Beachwear,TONG,561
Bain,Bain_Beachwear,BLOUSON,562
Bain,Bain_Beachwear,COMBINAISON PANTALON,563
Bain,Bain_Beachwear,PANTACOURT,565
Bain,Bain_Beachwear,BANDEAU,566
Bain,Bain_Beachwear,DRAP DE BAIN,567
Bain,Bain_Beachwear,SAC,568
Bain,Bain_Maillot,SOUTIEN GORGE PUSH-UP PADDING,576A
Bain,Bain_Maillot,SOUTIEN-GORGE PUSHUP PADDING,576B
Bain,Push-up,SOUTIEN GORGE PUSH UP MOUSSES AMO,576C
Homewear,Homewear_Accessoires,MULES,903
