ID_ARTICLE,ID_MODELE,ID_OPTION,MODELE,OPTION_PTT,COLORIS,POSITION,GRILLE,EAN
42915,31,964,247,CONFE,10,6,10,
42916,31,964,247,CONFE,36,1,10,
42917,31,964,247,CONFE,36,2,10,
42918,31,964,247,CONFE,36,3,10,
42919,31,964,247,CONFE,36,6,10,
42920,31,964,247,CONFE,61,1,10,
42921,31,964,247,CONFE,61,2,10,
42922,31,964,247,CONFE,61,3,10,
42923,31,964,247,CONFE,61,6,10,
42924,31,964,247,CONFE,85,1,10,
42925,31,964,247,CONFE,85,2,10,
42926,31,964,247,CONFE,85,3,10,
42927,31,964,247,CONFE,85,6,10,
42928,32,964,248,CONFE,10,1,10,
42929,32,964,248,CONFE,10,2,10,
42930,32,964,248,CONFE,10,3,10,
42931,32,964,248,CONFE,10,6,10,
42932,32,964,248,CONFE,36,1,10,
42933,32,964,248,CONFE,36,2,10,
42934,32,964,248,CONFE,36,3,10,
42935,32,964,248,CONFE,36,6,10,
42936,32,964,248,CONFE,61,1,10,
42937,32,964,248,CONFE,61,2,10,
42938,32,964,248,CONFE,61,3,10,
42939,32,964,248,CONFE,61,6,10,
42940,32,964,248,CONFE,85,1,10,
42941,32,964,248,CONFE,85,2,10,
42942,32,964,248,CONFE,85,3,10,
42943,32,964,248,CONFE,85,6,10,
42944,166,964,249,CONFE,10,1,10,
42945,166,964,249,CONFE,10,2,10,
42946,166,964,249,CONFE,10,3,10,
42947,166,964,249,CONFE,10,6,10,
42948,166,964,249,CONFE,10,7,10,
42949,166,964,249,CONFE,36,1,10,
42950,166,964,249,CONFE,36,2,10,
42951,166,964,249,CONFE,36,3,10,
42952,166,964,249,CONFE,36,6,10,
42953,166,964,249,CONFE,36,7,10,
42954,166,964,249,CONFE,61,1,10,
42955,166,964,249,CONFE,61,2,10,
42956,166,964,249,CONFE,61,3,10,
42957,166,964,249,CONFE,61,6,10,
42958,166,964,249,CONFE,61,7,10,
42959,166,964,249,CONFE,85,1,10,
42960,166,964,249,CONFE,85,2,10,
42961,166,964,249,CONFE,85,3,10,
42962,166,964,249,CONFE,85,6,10,
42963,166,964,249,CONFE,85,7,10,
42964,310,964,270,CONFE,10,1,10,
42965,310,964,270,CONFE,10,2,10,
42966,310,964,270,CONFE,10,3,10,
42967,310,964,270,CONFE,36,1,10,
42968,310,964,270,CONFE,36,2,10,
42969,310,964,270,CONFE,36,3,10,
42970,310,964,270,CONFE,61,1,10,
42971,310,964,270,CONFE,61,2,10,
42972,310,964,270,CONFE,61,3,10,
42973,310,964,270,CONFE,85,1,10,
42974,310,964,270,CONFE,85,2,10,
42975,310,964,270,CONFE,85,3,10,
42976,312,971,146,FOULD,4117,1,5,
42977,267,970,109A,SATIN,4117,3,25,
42978,267,970,109A,SATIN,4117,4,25,
42979,267,970,109A,SATIN,4117,5,25,
42980,267,970,109A,SATIN,4117,6,25,
42981,269,970,109C,SATIN,4117,4,25,
42982,269,970,109C,SATIN,4117,5,25,
42983,269,970,109C,SATIN,4117,6,25,
42984,313,970,159A,SATIN,11,3,25,
42985,314,970,159A,SATIN,11,4,25,
42986,315,970,159A,SATIN,11,5,25,
42987,316,970,159A,SATIN,11,6,25,
42988,317,970,159A,SATIN,20,3,25,
42989,318,970,159A,SATIN,20,4,25,
42990,319,970,159A,SATIN,20,5,25,
42991,320,970,159A,SATIN,20,6,25,
42992,321,970,159A,SATIN,65,3,25,
42993,322,970,159A,SATIN,65,4,25,
42994,323,970,159A,SATIN,65,5,25,
42995,324,970,159A,SATIN,65,6,25,
42996,325,970,159A,SATIN,4117,3,25,
42997,326,970,159A,SATIN,4117,4,25,
42998,327,970,159A,SATIN,4117,5,25,
42999,328,970,159A,SATIN,4117,6,25,
43000,10,1260,PLV,_PU77,13,1,5,
43001,10,1261,PLV,_PU78,13,1,5,
43002,3,1262,DOCUME,CALIE,13,1,5,
43003,3,1263,DOCUME,CELIE,13,1,5,
43004,3,1264,DOCUME,CGLIE,13,1,5,
43005,3,1265,DOCUME,CMLIE,13,1,5,
43006,3,1266,DOCUME,CRLIE,13,1,5,
43007,10,1267,PLV,EPU77,13,1,5,
43008,10,1268,PLV,EPU78,13,1,5,
43009,10,1269,PLV,GPU77,13,1,5,
43010,10,1270,PLV,GPU78,13,1,5,
43011,10,1271,PLV,MPU77,13,1,5,
43012,10,1272,PLV,MPU78,13,1,5,
43013,10,1273,PLV,RPU77,13,1,5,
43014,10,1274,PLV,RPU78,13,1,5,
43015,7,1275,FAVORI,EXCAD,13,1,5,
43016,7,1276,FAVORI,ABPSY,13,1,5,
43017,263,843,905,LISE,63,1,4,
43018,263,843,905,LISE,63,2,4,
43019,263,843,905,LISE,4117,1,4,
43020,263,843,905,LISE,4117,2,4,
43021,329,117,H03COR,AC900,13,1,5,
43022,7,1277,FAVORI,CARNO,13,1,5,
43023,330,119,H03COR,CA140,13,1,5,
43024,331,120,H03COR,CH903,13,1,5,
43025,332,121,H03COR,CO141,13,1,5,
43026,7,1278,FAVORI,INSWP,13,1,5,
43027,333,122,H03COR,LI210,13,1,5,
43028,334,127,H03COR,PE240,13,1,5,
43029,335,135,H03COR,PYENF,13,1,5,
43030,336,129,H03COR,PY200,13,1,5,
43031,337,130,H03COR,SG100,13,1,5,
43032,338,131,H03COR,SH202,13,1,5,
43033,339,132,H03COR,SL120,13,1,5,
43034,340,134,H03COR,TE280,13,1,5,
43035,7,1279,FAVORI,TSFA2,60,1,5,
43036,7,1280,FAVORI,TSFA2,4117,1,5,
43037,341,161,H03COR,VE284,13,1,5,
43038,118,1107,230,IMPRO,10,2,3,
43039,118,1107,230,IMPRO,30,2,3,
43040,118,1107,230,IMPRO,3004,2,3,
43041,118,1107,230,IMPRO,4117,2,3,
43042,66,1121,540,BINDI,34,1,5,
43043,66,1121,540,BINDI,46,1,5,
43044,66,1121,540,BINDI,60,1,5,
43045,96,1256,121,MACAR,4117,2,3,
43046,229,1249,101D,PROME,10,4,25,
43047,229,1249,101D,PROME,10,5,25,
43048,229,1249,101D,PROME,10,6,25,
43049,229,1249,101D,PROME,10,7,25,
43050,90,1249,120,PROME,10,7,3,
43051,276,1249,137C,PROME,10,4,25,
43052,276,1249,137C,PROME,10,5,25,
43053,276,1249,137C,PROME,10,6,25,
43054,194,1249,156A,PROME,10,3,25,
43055,194,1249,156A,PROME,10,4,25,
43056,194,1249,156A,PROME,10,5,25,
43057,194,1249,156A,PROME,10,6,25,
43058,248,1249,156C,PROME,10,4,25,
43059,248,1249,156C,PROME,10,5,25,
43060,248,1249,156C,PROME,10,6,25,
43061,10,1281,PLV,_VAL4,13,1,5,
43062,198,1282,100B,CARTD,61,4,25,
43063,198,1283,100B,CARTD,61,5,25,
43064,198,1284,100B,CARTD,61,6,25,
43065,198,1285,100B,CARTD,61,7,25,
43066,212,1286,100C,CARTD,61,4,25,
43067,212,1287,100C,CARTD,61,5,25,
43068,212,1288,100C,CARTD,61,6,25,
43069,212,1289,100C,CARTD,61,7,25,
43070,213,1290,100D,CARTD,61,4,25,
43071,213,1291,100D,CARTD,61,5,25,
43072,213,1292,100D,CARTD,61,6,25,
43073,213,1293,100D,CARTD,61,7,25,
43074,180,1294,105A,CARTD,61,3,25,
43075,180,1295,105A,CARTD,61,4,25,
43076,180,1296,105A,CARTD,61,5,25,
43077,180,1297,105A,CARTD,61,6,25,
43078,179,1298,105B,CARTD,61,4,25,
43079,179,1299,105B,CARTD,61,5,25,
43080,179,1300,105B,CARTD,61,6,25,
43081,175,1301,106A,CARTD,61,3,25,
43082,175,1302,106A,CARTD,61,4,25,
43083,175,1303,106A,CARTD,61,5,25,
43084,175,1304,106A,CARTD,61,6,25,
43085,176,1305,106B,CARTD,61,4,25,
43086,176,1306,106B,CARTD,61,5,25,
43087,176,1307,106B,CARTD,61,6,25,
43088,222,1308,106C,CARTD,61,4,25,
43089,222,1309,106C,CARTD,61,5,25,
43090,222,1310,106C,CARTD,61,6,25,
43091,90,1311,120,CARTD,61,2,3,
43092,90,1312,120,CARTD,61,3,3,
43093,90,1313,120,CARTD,61,4,3,
43094,90,1314,120,CARTD,61,5,3,
43095,90,1315,120,CARTD,61,6,3,
43096,90,1316,120,CARTD,61,7,3,
43097,19,1317,122,CARTD,61,1,10,
43098,19,1318,122,CARTD,61,2,10,
43099,19,1319,122,CARTD,61,3,10,
43100,19,1320,122,CARTD,61,4,10,
43101,157,1321,127,CARTD,61,2,3,
43102,157,1322,127,CARTD,61,3,3,
43103,157,1323,127,CARTD,61,4,3,
43104,157,1324,127,CARTD,61,5,3,
43105,157,1325,127,CARTD,61,6,3,
43106,15,1326,105,FLEU4,11,1,10,
43107,15,1327,105,FLEU4,11,2,10,
43108,15,1328,105,FLEU4,11,3,10,
43109,15,1329,105,FLEU4,70,1,10,
43110,15,1330,105,FLEU4,70,2,10,
43111,15,1331,105,FLEU4,70,3,10,
43112,15,1332,105,FLEU4,4117,1,10,
43113,15,1333,105,FLEU4,4117,2,10,
43114,15,1334,105,FLEU4,4117,3,10,
43115,96,1335,121,FLEU4,11,1,10,
43116,96,1336,121,FLEU4,11,2,10,
43117,96,1337,121,FLEU4,11,3,10,
43118,96,1338,121,FLEU4,70,1,10,
43119,96,1339,121,FLEU4,70,2,10,
43120,96,1340,121,FLEU4,70,3,10,
43121,96,1341,121,FLEU4,4117,1,10,
43122,96,1342,121,FLEU4,4117,2,10,
43123,96,1343,121,FLEU4,4117,3,10,
43124,19,1344,122,FLEU4,11,1,10,
43125,19,1345,122,FLEU4,11,2,10,
43126,19,1346,122,FLEU4,11,3,10,
43127,19,1347,122,FLEU4,70,1,10,
43128,19,1348,122,FLEU4,70,2,10,
43129,19,1349,122,FLEU4,70,3,10,
